,Title,Employer,Location,Deadline
196,                                        IT inženjer za komunikacijske sustave - ekspert (m/ž)                                    ,Financijska agencija,Zagreb,18.01.2024.
197,                                        System Administrator - Broadcast IT (m/f)                                    ,RTL Hrvatska d.o.o.,Zagreb,18.01.2024.
198,                                        Sistem analitičar ili IT arhitekt (m/ž)                                    ,"HBOR, Hrvatska banka za obnovu i razvitak",Zagreb,15.01.2024.
199,                                        Tehničar za telekomunikacije (m/ž)                                    ,Datakom j.d.o.o. za telekomunikacije,Zagreb,14.01.2024.
200,                                        Service Delivery Director (m/f/d)                                    ,SELECTIO d.o.o.,Zagreb or Pula,13.01.2024.
201,                                        Senior Web Designer (m/f)                                    ,Kriisp d.o.o,Zagreb,13.01.2024.
202,                                        Specijalist za koordinaciju priključenja (m/ž)                                    ,Telemach Hrvatska d.o.o.,Zagreb,19.01.2024.
203,                                        Tehničar za podršku korisnicima (m/ž)                                    ,Wiener osiguranje Vienna Insurance Group d.d.,Split,22.01.2024.
204,                                        Post Security Manager / IT Support Officer (m/f)                                    ,British Embassy Zagreb,Zagreb,01.02.2024.
205,                                        Revenue Management Intern (m/f/x)                                    ,Best Solutions d.o.o.,"Opatija, Lovran",21.01.2024.
206,                                        BI Specialist (m/ž)                                    ,Telemach Hrvatska d.o.o.,Zagreb,19.01.2024.
207,                                        Servisni tehničar za multifunkcijske uređaje (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,18.01.2024.
